,iati_identifier,reporting_org_narrative,title_narrative,description_narrative,participating_org_narrative,contact_info_organisation_narrative,recipient_country_code,sector_code,sector,sector_narrative,transaction_transaction_type_code,Date,transaction_value,default_currency,transaction_description_narrative,transaction_provider_org_ref,transaction_provider_org_narrative,year,month,day,EUR,USD,AUD,CAD,CHF,DKK,GBP,XDR,JPY
0,44000-P117365,World Bank,Urban Water and Sanitation Project,The Objective of the Project  is to increase access to sustainable water supply services and to improved sanitation services in some urban areas in the recipient' s territory.,"International Development Association,Republic of Niger\, Ministry of Planning,International Development Association,Ministry of Hydraulic and Sanitation,Cellule de Coordination du PEAMU,Societe de Patrimoine des Eaux du Niger (SPEN)",The World Bank,NE,14010,Water sector policy and administrative management,"Sanitation,Water Supply,Public Administration - Water\, Sanitation and Waste Management,Services and Housing for the Poor,Urban Development",3,2014-12-31 00:00:00+00:00,1450924,USD,Total Disbursement in Fourth Quarter of 2014,44002,International Development Association,2014,12,31,0.838001,0.690224,0.566122,0.594969,0.69783,0.1111076644414169,1.0773,1.0,0.006496077192982453
1,44000-P117365,World Bank,Urban Water and Sanitation Project,The Objective of the Project  is to increase access to sustainable water supply services and to improved sanitation services in some urban areas in the recipient' s territory.,"International Development Association,Republic of Niger\, Ministry of Planning,International Development Association,Ministry of Hydraulic and Sanitation,Cellule de Coordination du PEAMU,Societe de Patrimoine des Eaux du Niger (SPEN)",The World Bank,NE,14010,Water sector policy and administrative management,"Sanitation,Water Supply,Public Administration - Water\, Sanitation and Waste Management,Services and Housing for the Poor,Urban Development",3,2015-03-31 00:00:00+00:00,3326266,USD,Total Disbursement in First Quarter of 2015,44002,International Development Association,2015,3,31,0.779925,0.724905,0.553392,0.571556,0.745174,0.104413,1.07286,1.0,0.00603534
2,44000-P117365,World Bank,Urban Water and Sanitation Project,The Objective of the Project  is to increase access to sustainable water supply services and to improved sanitation services in some urban areas in the recipient' s territory.,"International Development Association,Republic of Niger\, Ministry of Planning,International Development Association,Ministry of Hydraulic and Sanitation,Cellule de Coordination du PEAMU,Societe de Patrimoine des Eaux du Niger (SPEN)",The World Bank,NE,14010,Water sector policy and administrative management,"Sanitation,Water Supply,Public Administration - Water\, Sanitation and Waste Management,Services and Housing for the Poor,Urban Development",3,2015-03-31 00:00:00+00:00,2072308,USD,Total Disbursement in First Quarter of 2015,44002,International Development Association,2015,3,31,0.779925,0.724905,0.553392,0.571556,0.745174,0.104413,1.07286,1.0,0.00603534
3,44000-P117365,World Bank,Urban Water and Sanitation Project,The Objective of the Project  is to increase access to sustainable water supply services and to improved sanitation services in some urban areas in the recipient' s territory.,"International Development Association,Republic of Niger\, Ministry of Planning,International Development Association,Ministry of Hydraulic and Sanitation,Cellule de Coordination du PEAMU,Societe de Patrimoine des Eaux du Niger (SPEN)",The World Bank,NE,14010,Water sector policy and administrative management,"Sanitation,Water Supply,Public Administration - Water\, Sanitation and Waste Management,Services and Housing for the Poor,Urban Development",3,2015-03-31 00:00:00+00:00,1013961,USD,Total Disbursement in First Quarter of 2015,44002,International Development Association,2015,3,31,0.779925,0.724905,0.553392,0.571556,0.745174,0.104413,1.07286,1.0,0.00603534
4,44000-P117365,World Bank,Urban Water and Sanitation Project,The Objective of the Project  is to increase access to sustainable water supply services and to improved sanitation services in some urban areas in the recipient' s territory.,"International Development Association,Republic of Niger\, Ministry of Planning,International Development Association,Ministry of Hydraulic and Sanitation,Cellule de Coordination du PEAMU,Societe de Patrimoine des Eaux du Niger (SPEN)",The World Bank,NE,14010,Water sector policy and administrative management,"Sanitation,Water Supply,Public Administration - Water\, Sanitation and Waste Management,Services and Housing for the Poor,Urban Development",3,2015-06-30 00:00:00+00:00,1362539,USD,Total Disbursement in Second Quarter of 2015,44002,International Development Association,2015,6,30,0.795582,0.711039,0.546078,0.570017,0.764394,0.106641,1.11761,1.0,0.00580677
5,44000-P117365,World Bank,Urban Water and Sanitation Project,The Objective of the Project  is to increase access to sustainable water supply services and to improved sanitation services in some urban areas in the recipient' s territory.,"International Development Association,Republic of Niger\, Ministry of Planning,International Development Association,Ministry of Hydraulic and Sanitation,Cellule de Coordination du PEAMU,Societe de Patrimoine des Eaux du Niger (SPEN)",The World Bank,NE,14010,Water sector policy and administrative management,"Sanitation,Water Supply,Public Administration - Water\, Sanitation and Waste Management,Services and Housing for the Poor,Urban Development",3,2015-06-30 00:00:00+00:00,1223347,USD,Total Disbursement in Second Quarter of 2015,44002,International Development Association,2015,6,30,0.795582,0.711039,0.546078,0.570017,0.764394,0.106641,1.11761,1.0,0.00580677
6,44000-P117365,World Bank,Urban Water and Sanitation Project,The Objective of the Project  is to increase access to sustainable water supply services and to improved sanitation services in some urban areas in the recipient' s territory.,"International Development Association,Republic of Niger\, Ministry of Planning,International Development Association,Ministry of Hydraulic and Sanitation,Cellule de Coordination du PEAMU,Societe de Patrimoine des Eaux du Niger (SPEN)",The World Bank,NE,14010,Water sector policy and administrative management,"Sanitation,Water Supply,Public Administration - Water\, Sanitation and Waste Management,Services and Housing for the Poor,Urban Development",3,2015-09-30 00:00:00+00:00,1682756,USD,Total Disbursement in Third Quarter of 2015,44002,International Development Association,2015,9,30,0.798085,0.712385,0.499382,0.531869,0.731852,0.106984,1.08275,1.0,0.00593902
7,44000-P117365,World Bank,Urban Water and Sanitation Project,The Objective of the Project  is to increase access to sustainable water supply services and to improved sanitation services in some urban areas in the recipient' s territory.,"International Development Association,Republic of Niger\, Ministry of Planning,International Development Association,Ministry of Hydraulic and Sanitation,Cellule de Coordination du PEAMU,Societe de Patrimoine des Eaux du Niger (SPEN)",The World Bank,NE,14010,Water sector policy and administrative management,"Sanitation,Water Supply,Public Administration - Water\, Sanitation and Waste Management,Services and Housing for the Poor,Urban Development",3,2015-09-30 00:00:00+00:00,484589,USD,Total Disbursement in Third Quarter of 2015,44002,International Development Association,2015,9,30,0.798085,0.712385,0.499382,0.531869,0.731852,0.106984,1.08275,1.0,0.00593902
8,44000-P117365,World Bank,Urban Water and Sanitation Project,The Objective of the Project  is to increase access to sustainable water supply services and to improved sanitation services in some urban areas in the recipient' s territory.,"International Development Association,Republic of Niger\, Ministry of Planning,International Development Association,Ministry of Hydraulic and Sanitation,Cellule de Coordination du PEAMU,Societe de Patrimoine des Eaux du Niger (SPEN)",The World Bank,NE,14010,Water sector policy and administrative management,"Sanitation,Water Supply,Public Administration - Water\, Sanitation and Waste Management,Services and Housing for the Poor,Urban Development",3,2015-12-31 00:00:00+00:00,2520274,USD,Total Disbursement in Fourth Quarter of 2015,44002,International Development Association,2015,12,31,0.785651,0.721641,0.527231,0.521417,0.727387,0.1111076644414169,1.0694,1.0,0.006496077192982453
9,44000-P117365,World Bank,Urban Water and Sanitation Project,The Objective of the Project  is to increase access to sustainable water supply services and to improved sanitation services in some urban areas in the recipient' s territory.,"International Development Association,Republic of Niger\, Ministry of Planning,International Development Association,Ministry of Hydraulic and Sanitation,Cellule de Coordination du PEAMU,Societe de Patrimoine des Eaux du Niger (SPEN)",The World Bank,NE,14010,Water sector policy and administrative management,"Sanitation,Water Supply,Public Administration - Water\, Sanitation and Waste Management,Services and Housing for the Poor,Urban Development",3,2016-03-31 00:00:00+00:00,693914,USD,Total Disbursement in First Quarter of 2016,44002,International Development Association,2016,3,31,0.808123,0.709814,0.543505,0.547232,0.737852,0.108455,1.02235,1.0,0.00630218
10,44000-P117365,World Bank,Urban Water and Sanitation Project,The Objective of the Project  is to increase access to sustainable water supply services and to improved sanitation services in some urban areas in the recipient' s territory.,"International Development Association,Republic of Niger\, Ministry of Planning,International Development Association,Ministry of Hydraulic and Sanitation,Cellule de Coordination du PEAMU,Societe de Patrimoine des Eaux du Niger (SPEN)",The World Bank,NE,14010,Water sector policy and administrative management,"Sanitation,Water Supply,Public Administration - Water\, Sanitation and Waste Management,Services and Housing for the Poor,Urban Development",3,2016-03-31 00:00:00+00:00,3136820,USD,Total Disbursement in First Quarter of 2016,44002,International Development Association,2016,3,31,0.808123,0.709814,0.543505,0.547232,0.737852,0.108455,1.02235,1.0,0.00630218
