,iati_identifier,reporting_org_narrative,title_narrative,description_narrative,participating_org_narrative,contact_info_organisation_narrative,recipient_country_code,sector_code,sector,sector_narrative,transaction_transaction_type_code,transaction_transaction_date_iso_date,transaction_value,default_currency,transaction_description_narrative,transaction_provider_org_ref,transaction_provider_org_narrative,year,month,day
0,44000-P117365,World Bank,Urban Water and Sanitation Project,The Objective of the Project  is to increase access to sustainable water supply services and to improved sanitation services in some urban areas in the recipient' s territory.,"International Development Association,Republic of Niger\, Ministry of Planning,International Development Association,Ministry of Hydraulic and Sanitation,Cellule de Coordination du PEAMU,Societe de Patrimoine des Eaux du Niger (SPEN)",The World Bank,NE,14010,Water sector policy and administrative management,"Sanitation,Water Supply,Public Administration - Water\, Sanitation and Waste Management,Services and Housing for the Poor,Urban Development",3,2014-12-31T00:00:00Z,1450924,USD,Total Disbursement in Fourth Quarter of 2014,44002,International Development Association,2014,12,31
1,44000-P117365,World Bank,Urban Water and Sanitation Project,The Objective of the Project  is to increase access to sustainable water supply services and to improved sanitation services in some urban areas in the recipient' s territory.,"International Development Association,Republic of Niger\, Ministry of Planning,International Development Association,Ministry of Hydraulic and Sanitation,Cellule de Coordination du PEAMU,Societe de Patrimoine des Eaux du Niger (SPEN)",The World Bank,NE,14010,Water sector policy and administrative management,"Sanitation,Water Supply,Public Administration - Water\, Sanitation and Waste Management,Services and Housing for the Poor,Urban Development",3,2015-03-31T00:00:00Z,3326266,USD,Total Disbursement in First Quarter of 2015,44002,International Development Association,2015,3,31
2,44000-P117365,World Bank,Urban Water and Sanitation Project,The Objective of the Project  is to increase access to sustainable water supply services and to improved sanitation services in some urban areas in the recipient' s territory.,"International Development Association,Republic of Niger\, Ministry of Planning,International Development Association,Ministry of Hydraulic and Sanitation,Cellule de Coordination du PEAMU,Societe de Patrimoine des Eaux du Niger (SPEN)",The World Bank,NE,14010,Water sector policy and administrative management,"Sanitation,Water Supply,Public Administration - Water\, Sanitation and Waste Management,Services and Housing for the Poor,Urban Development",3,2015-03-31T00:00:00Z,2072308,USD,Total Disbursement in First Quarter of 2015,44002,International Development Association,2015,3,31
3,44000-P117365,World Bank,Urban Water and Sanitation Project,The Objective of the Project  is to increase access to sustainable water supply services and to improved sanitation services in some urban areas in the recipient' s territory.,"International Development Association,Republic of Niger\, Ministry of Planning,International Development Association,Ministry of Hydraulic and Sanitation,Cellule de Coordination du PEAMU,Societe de Patrimoine des Eaux du Niger (SPEN)",The World Bank,NE,14010,Water sector policy and administrative management,"Sanitation,Water Supply,Public Administration - Water\, Sanitation and Waste Management,Services and Housing for the Poor,Urban Development",3,2015-03-31T00:00:00Z,1013961,USD,Total Disbursement in First Quarter of 2015,44002,International Development Association,2015,3,31
4,44000-P117365,World Bank,Urban Water and Sanitation Project,The Objective of the Project  is to increase access to sustainable water supply services and to improved sanitation services in some urban areas in the recipient' s territory.,"International Development Association,Republic of Niger\, Ministry of Planning,International Development Association,Ministry of Hydraulic and Sanitation,Cellule de Coordination du PEAMU,Societe de Patrimoine des Eaux du Niger (SPEN)",The World Bank,NE,14010,Water sector policy and administrative management,"Sanitation,Water Supply,Public Administration - Water\, Sanitation and Waste Management,Services and Housing for the Poor,Urban Development",3,2015-06-30T00:00:00Z,1362539,USD,Total Disbursement in Second Quarter of 2015,44002,International Development Association,2015,6,30
5,44000-P117365,World Bank,Urban Water and Sanitation Project,The Objective of the Project  is to increase access to sustainable water supply services and to improved sanitation services in some urban areas in the recipient' s territory.,"International Development Association,Republic of Niger\, Ministry of Planning,International Development Association,Ministry of Hydraulic and Sanitation,Cellule de Coordination du PEAMU,Societe de Patrimoine des Eaux du Niger (SPEN)",The World Bank,NE,14010,Water sector policy and administrative management,"Sanitation,Water Supply,Public Administration - Water\, Sanitation and Waste Management,Services and Housing for the Poor,Urban Development",3,2015-06-30T00:00:00Z,1223347,USD,Total Disbursement in Second Quarter of 2015,44002,International Development Association,2015,6,30
7,44000-P117365,World Bank,Urban Water and Sanitation Project,The Objective of the Project  is to increase access to sustainable water supply services and to improved sanitation services in some urban areas in the recipient' s territory.,"International Development Association,Republic of Niger\, Ministry of Planning,International Development Association,Ministry of Hydraulic and Sanitation,Cellule de Coordination du PEAMU,Societe de Patrimoine des Eaux du Niger (SPEN)",The World Bank,NE,14010,Water sector policy and administrative management,"Sanitation,Water Supply,Public Administration - Water\, Sanitation and Waste Management,Services and Housing for the Poor,Urban Development",3,2015-09-30T00:00:00Z,1682756,USD,Total Disbursement in Third Quarter of 2015,44002,International Development Association,2015,9,30
8,44000-P117365,World Bank,Urban Water and Sanitation Project,The Objective of the Project  is to increase access to sustainable water supply services and to improved sanitation services in some urban areas in the recipient' s territory.,"International Development Association,Republic of Niger\, Ministry of Planning,International Development Association,Ministry of Hydraulic and Sanitation,Cellule de Coordination du PEAMU,Societe de Patrimoine des Eaux du Niger (SPEN)",The World Bank,NE,14010,Water sector policy and administrative management,"Sanitation,Water Supply,Public Administration - Water\, Sanitation and Waste Management,Services and Housing for the Poor,Urban Development",3,2015-09-30T00:00:00Z,484589,USD,Total Disbursement in Third Quarter of 2015,44002,International Development Association,2015,9,30
9,44000-P117365,World Bank,Urban Water and Sanitation Project,The Objective of the Project  is to increase access to sustainable water supply services and to improved sanitation services in some urban areas in the recipient' s territory.,"International Development Association,Republic of Niger\, Ministry of Planning,International Development Association,Ministry of Hydraulic and Sanitation,Cellule de Coordination du PEAMU,Societe de Patrimoine des Eaux du Niger (SPEN)",The World Bank,NE,14010,Water sector policy and administrative management,"Sanitation,Water Supply,Public Administration - Water\, Sanitation and Waste Management,Services and Housing for the Poor,Urban Development",3,2015-12-31T00:00:00Z,2520274,USD,Total Disbursement in Fourth Quarter of 2015,44002,International Development Association,2015,12,31
11,44000-P117365,World Bank,Urban Water and Sanitation Project,The Objective of the Project  is to increase access to sustainable water supply services and to improved sanitation services in some urban areas in the recipient' s territory.,"International Development Association,Republic of Niger\, Ministry of Planning,International Development Association,Ministry of Hydraulic and Sanitation,Cellule de Coordination du PEAMU,Societe de Patrimoine des Eaux du Niger (SPEN)",The World Bank,NE,14010,Water sector policy and administrative management,"Sanitation,Water Supply,Public Administration - Water\, Sanitation and Waste Management,Services and Housing for the Poor,Urban Development",3,2016-03-31T00:00:00Z,693914,USD,Total Disbursement in First Quarter of 2016,44002,International Development Association,2016,3,31
