,iati id,project,description_narrative,sector code,sector name,publisher,provider/buyer,year,default_currency,disbursment
0,CH-4-2012006301,Programme d'hydraulique rurale N71,"Le programme renforcera les capacités des différents acteurs parties prenantes pour qu’ils soient à terme capables de porter eux-mêmes et de façon durable le dispositif et les investissements réalisés. Il établira des mécanismes de financement des infrastructures basés sur l’expérience de la DDC au Niger (notamment le Fonds de Soutien aux Investissements Locaux\, FSILs) et préparera les communes à la mise en place éventuelle d’un dispositif national d’investissement (l’Agence Nationale pour l’Investissement des Collectivités Territoriales attendue d’ici 2012) auquel la DDC pourrait envisager de contribuer une fois opérationnel. Le programme travaillera en coordination avec le Programme d’Appui au Secteur de l’Elevage (PASEL) pour soutenir la mise en œuvre de la stratégie d’intervention nationale en matière d’hydraulique pastorale (en préparation) dans les régions de Maradi et Dosso.",14010,Water sector policy and administrative management,Swiss Agency for Development and Cooperation (SDC),"Swiss Agency for Development and Cooperation (SDC),ONG basée dans un pays en développement",2017,CHF,30494
1,CH-4-2012006301,Programme d'hydraulique rurale N71,"Le programme renforcera les capacités des différents acteurs parties prenantes pour qu’ils soient à terme capables de porter eux-mêmes et de façon durable le dispositif et les investissements réalisés. Il établira des mécanismes de financement des infrastructures basés sur l’expérience de la DDC au Niger (notamment le Fonds de Soutien aux Investissements Locaux\, FSILs) et préparera les communes à la mise en place éventuelle d’un dispositif national d’investissement (l’Agence Nationale pour l’Investissement des Collectivités Territoriales attendue d’ici 2012) auquel la DDC pourrait envisager de contribuer une fois opérationnel. Le programme travaillera en coordination avec le Programme d’Appui au Secteur de l’Elevage (PASEL) pour soutenir la mise en œuvre de la stratégie d’intervention nationale en matière d’hydraulique pastorale (en préparation) dans les régions de Maradi et Dosso.",14030,Basic drinking water supply and basic sanitation,Swiss Agency for Development and Cooperation (SDC),"Swiss Agency for Development and Cooperation (SDC),ONG basée dans un pays en développement",2017,CHF,30494
2,CH-4-2012006302,Programme d'hydraulique rurale N71,"Le programme renforcera les capacités des différents acteurs parties prenantes pour qu’ils soient à terme capables de porter eux-mêmes et de façon durable le dispositif et les investissements réalisés. Il établira des mécanismes de financement des infrastructures basés sur l’expérience de la DDC au Niger (notamment le Fonds de Soutien aux Investissements Locaux\, FSILs) et préparera les communes à la mise en place éventuelle d’un dispositif national d’investissement (l’Agence Nationale pour l’Investissement des Collectivités Territoriales attendue d’ici 2012) auquel la DDC pourrait envisager de contribuer une fois opérationnel. Le programme travaillera en coordination avec le Programme d’Appui au Secteur de l’Elevage (PASEL) pour soutenir la mise en œuvre de la stratégie d’intervention nationale en matière d’hydraulique pastorale (en préparation) dans les régions de Maradi et Dosso.",14010,Water sector policy and administrative management,Swiss Agency for Development and Cooperation (SDC),"Swiss Agency for Development and Cooperation (SDC),ONG basée dans un pays en développement",2017,CHF,-52769
3,CH-4-2012006302,Programme d'hydraulique rurale N71,"Le programme renforcera les capacités des différents acteurs parties prenantes pour qu’ils soient à terme capables de porter eux-mêmes et de façon durable le dispositif et les investissements réalisés. Il établira des mécanismes de financement des infrastructures basés sur l’expérience de la DDC au Niger (notamment le Fonds de Soutien aux Investissements Locaux\, FSILs) et préparera les communes à la mise en place éventuelle d’un dispositif national d’investissement (l’Agence Nationale pour l’Investissement des Collectivités Territoriales attendue d’ici 2012) auquel la DDC pourrait envisager de contribuer une fois opérationnel. Le programme travaillera en coordination avec le Programme d’Appui au Secteur de l’Elevage (PASEL) pour soutenir la mise en œuvre de la stratégie d’intervention nationale en matière d’hydraulique pastorale (en préparation) dans les régions de Maradi et Dosso.",14030,Basic drinking water supply and basic sanitation,Swiss Agency for Development and Cooperation (SDC),"Swiss Agency for Development and Cooperation (SDC),ONG basée dans un pays en développement",2017,CHF,-52769
4,CH-4-2012006303,Programme d’Hydraulique Rurale – Appui Au Secteur Eau et Assainissement (PHRASEA) Phase 2,"Moins de 50% des nigériens ont accès à l’eau potable et seuls 7% disposent de conditions d'assainissement de base. La croissance démographique galopante\, la dispersion de la population sur le territoire et la précarité des finances publiques sont des contraintes empêchant l'accès des populations à ces services de base. Le PHRASEA vient en appui aux efforts du gouvernement\, en misant sur la maitrise d’ouvrage des communes.",14015,Water resources conservation (including data collection),Swiss Agency for Development and Cooperation (SDC),"Swiss Agency for Development and Cooperation (SDC),ONG basée dans un pays donneur",2017,CHF,9547994
5,CH-4-2012006304,Programme d’Hydraulique Rurale – Appui Au Secteur Eau et Assainissement (PHRASEA) Phase 2,"Moins de 50% des nigériens ont accès à l’eau potable et seuls 7% disposent de conditions d'assainissement de base. La croissance démographique galopante\, la dispersion de la population sur le territoire et la précarité des finances publiques sont des contraintes empêchant l'accès des populations à ces services de base. Le PHRASEA vient en appui aux efforts du gouvernement\, en misant sur la maitrise d’ouvrage des communes.",14031,Basic drinking water supply,Swiss Agency for Development and Cooperation (SDC),"Swiss Agency for Development and Cooperation (SDC),Gouvernement local (SUD/EST)",2017,CHF,9683000
6,CH-4-2012006305,Programme d’Hydraulique Rurale – Appui Au Secteur Eau et Assainissement (PHRASEA) Phase 2,"Moins de 50% des nigériens ont accès à l’eau potable et seuls 7% disposent de conditions d'assainissement de base. La croissance démographique galopante\, la dispersion de la population sur le territoire et la précarité des finances publiques sont des contraintes empêchant l'accès des populations à ces services de base. Le PHRASEA vient en appui aux efforts du gouvernement\, en misant sur la maitrise d’ouvrage des communes.",14015,Water resources conservation (including data collection),Swiss Agency for Development and Cooperation (SDC),"Swiss Agency for Development and Cooperation (SDC),ONG basée dans un pays en développement",2017,CHF,550000
7,CH-4-2012006301,Programme d'hydraulique rurale N71,"Le programme renforcera les capacités des différents acteurs parties prenantes pour qu’ils soient à terme capables de porter eux-mêmes et de façon durable le dispositif et les investissements réalisés. Il établira des mécanismes de financement des infrastructures basés sur l’expérience de la DDC au Niger (notamment le Fonds de Soutien aux Investissements Locaux\, FSILs) et préparera les communes à la mise en place éventuelle d’un dispositif national d’investissement (l’Agence Nationale pour l’Investissement des Collectivités Territoriales attendue d’ici 2012) auquel la DDC pourrait envisager de contribuer une fois opérationnel. Le programme travaillera en coordination avec le Programme d’Appui au Secteur de l’Elevage (PASEL) pour soutenir la mise en œuvre de la stratégie d’intervention nationale en matière d’hydraulique pastorale (en préparation) dans les régions de Maradi et Dosso.",14010,Water sector policy and administrative management,Swiss Agency for Development and Cooperation (SDC),"Swiss Agency for Development and Cooperation (SDC),ONG basée dans un pays en développement",2018,CHF,-7727
8,CH-4-2012006301,Programme d'hydraulique rurale N71,"Le programme renforcera les capacités des différents acteurs parties prenantes pour qu’ils soient à terme capables de porter eux-mêmes et de façon durable le dispositif et les investissements réalisés. Il établira des mécanismes de financement des infrastructures basés sur l’expérience de la DDC au Niger (notamment le Fonds de Soutien aux Investissements Locaux\, FSILs) et préparera les communes à la mise en place éventuelle d’un dispositif national d’investissement (l’Agence Nationale pour l’Investissement des Collectivités Territoriales attendue d’ici 2012) auquel la DDC pourrait envisager de contribuer une fois opérationnel. Le programme travaillera en coordination avec le Programme d’Appui au Secteur de l’Elevage (PASEL) pour soutenir la mise en œuvre de la stratégie d’intervention nationale en matière d’hydraulique pastorale (en préparation) dans les régions de Maradi et Dosso.",14030,Basic drinking water supply and basic sanitation,Swiss Agency for Development and Cooperation (SDC),"Swiss Agency for Development and Cooperation (SDC),ONG basée dans un pays en développement",2018,CHF,-7727
9,CH-4-2012006302,Programme d'hydraulique rurale N71,"Le programme renforcera les capacités des différents acteurs parties prenantes pour qu’ils soient à terme capables de porter eux-mêmes et de façon durable le dispositif et les investissements réalisés. Il établira des mécanismes de financement des infrastructures basés sur l’expérience de la DDC au Niger (notamment le Fonds de Soutien aux Investissements Locaux\, FSILs) et préparera les communes à la mise en place éventuelle d’un dispositif national d’investissement (l’Agence Nationale pour l’Investissement des Collectivités Territoriales attendue d’ici 2012) auquel la DDC pourrait envisager de contribuer une fois opérationnel. Le programme travaillera en coordination avec le Programme d’Appui au Secteur de l’Elevage (PASEL) pour soutenir la mise en œuvre de la stratégie d’intervention nationale en matière d’hydraulique pastorale (en préparation) dans les régions de Maradi et Dosso.",14010,Water sector policy and administrative management,Swiss Agency for Development and Cooperation (SDC),"Swiss Agency for Development and Cooperation (SDC),ONG basée dans un pays en développement",2018,CHF,963490
